Cod_Hystra;UTM_NY;UTM_EX;HEIGHT;DATA_INST;DATA_DISINST
T0438;631550.0;5144536.0;2855.000;2009-08-01;2013-07-08
T0439;622089.0;5120099.0;2852.000;2011-11-17;2013-07-30
T0440;621774.0;5119952.0;2893.000;;2013-01-22
T0441;621880.0;5119870.0;2880.000;2012-07-05;2013-07-30
T0442;621924.0;5121765.0;2587.000;2011-10-28;2013-07-30
T0443;652226.0;5076359.0;727.000;2009-12-21;2012-03-14
T0444;721335.0;5126401.0;2720.000;2010-09-01;2013-06-25
T0445;718717.0;5150433.0;2376.000;2009-01-01;2013-07-30
T0446;622148.0;5120646.0;2681.000;2011-03-10;2013-05-02
T0448;710363.0;5150701.0;1442.000;1911-09-01;2013-06-25
T0449;660646.0;5135063.0;856.000;;2012-12-12
T0450;715494.0;5126914.0;1470.000;2007-05-17;2013-07-30
T0451;625629.0;5089390.0;764.000;1911-09-01;2013-06-25
T0453;667010.0;5117636.0;662.000;;2012-12-12
T0454;665372.0;5103391.0;255.000;2012-06-11;2012-09-25
T0469;703428.0;5103763.0;801.000;2007-05-11;2013-01-17
T0473;631963.0;5145624.0;3093.000;2011-09-02;2013-07-30
T0474;618638.0;5114161.0;2955.000;2011-09-08;2013-07-30
T0059;700188.0;5126283.0;1608.000;2012-05-24;2013-06-25
T0008;711553.0;5132107.7;1540.000;2006-01-15;2013-07-30
